英文术语,中文译名,学科
myocardial infarction,心肌梗死,心血管
coronary artery disease,冠状动脉疾病,心血管
atherosclerosis,动脉粥样硬化,心血管
revascularization,血运重建,心血管
stent thrombosis,支架内血栓,心血管
restenosis,再狭窄,心血管
cardiac troponin,心肌肌钙蛋白,心血管
natriuretic peptide,利钠肽,心血管
cardiac output,心输出量,心血管
systemic vascular resistance,体循环血管阻力,心血管
pulmonary capillary wedge pressure,肺毛细血管楔压,心血管
cardiogenic shock,心源性休克,心血管
systolic dysfunction,收缩功能障碍,心血管
diastolic dysfunction,舒张功能障碍,心血管
ventricular remodeling,心室重构,心血管
oxidative stress,氧化应激,基础医学
inflammation,炎症,基础医学
apoptosis,细胞凋亡,基础医学
autophagy,自噬,基础医学
necrosis,坏死,基础医学
fibrosis,纤维化,基础医学
ischemia reperfusion injury,缺血再灌注损伤,基础医学
signal transduction,信号转导,基础医学
transcription factor,转录因子,基础医学
gene expression,基因表达,基础医学
epigenetics,表观遗传学,基础医学
methylation,甲基化,基础医学
phosphorylation,磷酸化,基础医学
ubiquitination,泛素化,基础医学
proteasome,蛋白酶体,基础医学
neovascularization,新生血管形成,基础医学
angiogenesis,血管生成,基础医学
vasculogenesis,血管发生,基础医学
lymphangiogenesis,淋巴管生成,基础医学
epithelial mesenchymal transition,上皮间质转化,肿瘤
tumor microenvironment,肿瘤微环境,肿瘤
immune checkpoint,免疫检查点,肿瘤
programmed cell death,程序性细胞死亡,肿瘤
tumor infiltrating lymphocyte,肿瘤浸润淋巴细胞,肿瘤
microsatellite instability,微卫星不稳定性,肿瘤
mismatch repair,错配修复,肿瘤
circulating tumor DNA,循环肿瘤DNA,肿瘤
minimal residual disease,微小残留病变,肿瘤
neoadjuvant chemotherapy,新辅助化疗,肿瘤
adjuvant chemotherapy,辅助化疗,肿瘤
palliative care,姑息治疗,肿瘤
cytokine release syndrome,细胞因子释放综合征,肿瘤
glomerular filtration rate,肾小球滤过率,肾病
tubulointerstitial fibrosis,肾小管间质纤维化,肾病
proteinuria,蛋白尿,肾病
hematuria,血尿,肾病
nephrotic syndrome,肾病综合征,肾病
nephritic syndrome,肾炎综合征,肾病
renin angiotensin aldosterone system,肾素血管紧张素醛固酮系统,内分泌
glycemic control,血糖控制,内分泌
insulin resistance,胰岛素抵抗,内分泌
beta cell dysfunction,β细胞功能障碍,内分泌
glycemic variability,血糖变异性,内分泌
hypoglycemia unawareness,无症状性低血糖,内分泌
metabolic syndrome,代谢综合征,内分泌
thyroid storm,甲状腺危象,内分泌
diabetic neuropathy,糖尿病神经病变,内分泌
diabetic retinopathy,糖尿病视网膜病变,内分泌
diabetic nephropathy,糖尿病肾病,内分泌
bronchoalveolar lavage,支气管肺泡灌洗,呼吸
ventilation perfusion mismatch,通气灌注不匹配,呼吸
airway remodeling,气道重塑,呼吸
mucociliary clearance,黏液纤毛清除,呼吸
pulmonary hypertension,肺动脉高压,呼吸
diffuse alveolar damage,弥漫性肺泡损伤,呼吸
ground glass opacity,磨玻璃样阴影,影像
consolidation,实变,影像
cerebrospinal fluid,脑脊液,神经
blood brain barrier,血脑屏障,神经
synaptic plasticity,突触可塑性,神经
neuroinflammation,神经炎症,神经
neurodegeneration,神经退行性变,神经
demyelination,脱髓鞘,神经
excitotoxicity,兴奋性毒性,神经
coagulation cascade,凝血级联反应,血液
fibrinolysis,纤维蛋白溶解,血液
hematopoiesis,造血,血液
erythropoiesis,红细胞生成,血液
thrombocytopenia,血小板减少,血液
neutropenia,中性粒细胞减少,血液
leukocytosis,白细胞增多,血液
acid base balance,酸碱平衡,生理学
homeostasis,内稳态,生理学
pharmacokinetics,药代动力学,药理
pharmacodynamics,药效动力学,药理
bioavailability,生物利用度,药理
therapeutic index,治疗指数,药理
